Name,FighterId,WeightClass,BirthDate,Height,Weight,Reach,Wins,Losses,Draws,NoContests,TechnicalKnockouts,TechnicalKnockoutLosses,Submissions,SubmissionLosses,TitleWins,TitleLosses,TitleDraws,SigStrikesLandedPerMinute,SigStrikeAccuracy,TakedownAverage,SubmissionAverage,StrikeFinishPercentage,TechnicalKnockoutPercentage,DecisionPercentage,WorkAverage
Ray Borg,140000226,Bantamweight,1993-08-04T00:00:00,64.0,135.0,63.0,13,5,0,0,2,0,14,2,0,2,0,3.7,98.7,9.3,2.5,0.0,0.0,43.1,86.025
Lyman Good,140000048,Welterweight,1985-05-26T00:00:00,72.0,170.0,74.0,21,6,0,1,6,0,2,1,2,1,0,3.0,36.6,0.2,0.0,6.0,6.0,0.0,0.0
Glover Teixeira,140000015,Light Heavyweight,1979-10-28T00:00:00,74.0,205.0,76.0,33,7,0,0,17,3,8,0,1,1,0,3.2,54.2,1.8,0.9,16.1,16.1,6.4,5.184000000000001
Chris Gutierrez,140000200,Bantamweight,1991-04-22T00:00:00,69.0,135.0,67.0,17,3,2,0,10,0,2,2,0,0,0,10.3,90.6,1.1,0.4,10.1,10.1,27.1,4.532000000000001
Ashley Yoder,140000415,Women's Strawweight,1987-10-20T00:00:00,67.0,116.0,69.0,8,8,0,0,0,0,4,0,0,0,0,3.1,53.0,1.2,0.6,0.0,0.0,18.7,2.2319999999999998
Charles Byrd,140000129,Middleweight,1983-10-11T00:00:00,70.0,185.0,73.0,10,7,0,0,1,1,1,0,0,0,0,0.8,26.4,0.6,0.3,0.0,0.0,0.0,0.144
Trevin Jones,140001010,Bantamweight,1990-08-04T00:00:00,67.0,135.0,70.0,13,7,0,1,1,0,1,1,0,0,0,0.8,39.3,0.4,0.0,1.7,1.7,0.0,0.0
Geraldo de Freitas,140000031,Bantamweight,1991-09-30T00:00:00,67.0,136.0,72.0,12,6,0,0,2,0,3,0,0,0,0,2.3,46.2,1.8,0.0,0.0,0.0,3.4,0.0
Jake Collier,140000902,Light Heavyweight,1988-10-25T00:00:00,75.0,264.0,78.0,12,6,0,0,3,2,2,1,1,0,0,3.1,34.5,0.3,0.2,3.2,3.2,12.6,0.186
Ryan Spann,140000343,Light Heavyweight,1991-08-24T00:00:00,77.0,206.0,79.0,19,7,0,0,6,4,12,2,1,2,0,4.2,51.2,2.0,2.0,9.5,9.5,9.5,16.8
Anthony Birchak,140001083,Bantamweight,1986-05-16T00:00:00,68.0,135.0,69.0,16,8,0,0,8,3,12,5,2,0,0,6.1,59.2,0.7,0.7,6.5,6.5,6.5,2.9889999999999994
Roman Dolidze,140000923,Light Heavyweight,1988-07-15T00:00:00,74.0,185.0,76.0,9,1,0,0,1,0,1,0,0,0,0,0.7,33.3,0.8,0.4,2.9,2.9,10.8,0.22399999999999998
Eddie Wineland,140000390,Bantamweight,1984-06-26T00:00:00,67.0,135.0,69.0,24,15,1,0,2,1,1,0,0,0,0,0.4,10.2,0.0,0.0,2.2,2.2,0.8,0.0
Ed Herman,140000354,Light Heavyweight,1980-10-02T00:00:00,73.0,205.0,77.0,27,15,0,1,14,6,21,12,0,2,0,6.5,86.6,4.2,2.2,13.1,13.1,13.1,60.06000000000001
Darren Stewart,140000392,Middleweight,1990-12-30T00:00:00,72.0,204.0,74.0,12,8,0,2,9,1,1,3,0,0,0,4.0,60.4,2.3,0.2,10.4,10.4,10.4,1.8399999999999999
Ben Sosoli,140000573,Heavyweight,1989-12-10T00:00:00,72.0,264.0,72.5,7,3,0,2,15,2,0,0,0,0,0,5.7,49.2,0.0,0.0,0.0,0.0,0.0,0.0
Michelle Waterson,140000240,Women's Strawweight,1986-01-06T00:00:00,63.0,125.0,62.0,18,9,0,0,6,2,12,6,2,2,0,6.6,75.4,2.6,1.4,0.0,0.0,20.1,24.023999999999997
Ode' Osbourne,140000479,Bantamweight,1992-01-09T00:00:00,67.0,125.0,73.0,10,4,0,1,2,0,2,1,0,0,0,2.0,31.4,0.5,0.2,2.8,2.8,2.8,0.2
Makwan Amirkhani,140000385,Featherweight,1988-11-08T00:00:00,70.0,146.0,72.0,16,7,0,0,2,5,17,2,0,0,0,3.2,79.8,9.6,2.6,10.2,10.2,13.3,79.872
Victoria Leonardo,140001079,Women's Flyweight,1990-02-16T00:00:00,65.0,125.0,64.0,8,5,0,0,0,1,2,0,0,0,0,1.7,32.6,0.7,0.0,3.4,3.4,0.0,0.0
Vanessa Demopoulos,140000971,Women's Strawweight,1988-09-22T00:00:00,62.0,125.0,59.5,6,4,0,0,2,0,5,0,2,2,0,5.0,59.0,0.0,1.6,0.0,0.0,0.0,0.0
Luis Pena,140000213,Lightweight,1993-07-05T00:00:00,75.0,155.0,75.0,9,3,0,0,0,0,0,0,0,0,0,0.3,14.4,0.1,0.1,0.7,0.7,2.1,0.003
Brandon Moreno,140000613,Flyweight,1993-12-07T00:00:00,67.0,125.0,70.0,19,5,2,0,1,0,5,0,1,0,1,1.5,32.4,0.9,0.3,1.7,1.7,5.1,0.405
Song Kenan,140000590,Welterweight,1990-03-10T00:00:00,72.0,171.0,71.5,16,6,0,0,2,1,2,0,0,0,0,1.2,24.8,0.0,0.0,3.8,3.8,1.3,0.0
Sara McMann,140000701,Women's Bantamweight,1980-09-24T00:00:00,66.0,135.0,66.0,12,6,0,0,5,3,11,11,0,3,0,6.3,105.0,12.0,1.5,15.2,15.2,55.1,113.39999999999999
Amanda Nunes,140000446,Women's Bantamweight,1988-05-30T00:00:00,68.0,135.0,69.0,21,4,0,0,19,4,9,2,13,0,2,9.6,83.7,5.4,1.8,46.8,46.8,23.4,93.31200000000001
Oskar Piechota,140000536,Welterweight,1990-01-24T00:00:00,72.0,185.0,76.0,11,3,1,1,2,0,2,1,0,0,0,1.2,36.1,0.2,0.6,2.3,2.3,2.3,0.144
Modestas Bukauskas,140000922,Middleweight,1994-02-10T00:00:00,75.0,205.0,78.0,11,5,0,0,5,2,1,1,1,0,0,2.4,31.5,0.0,0.0,4.2,4.2,0.0,0.0
Rhys McKee,140000947,Welterweight,1995-09-10T00:00:00,74.0,170.0,78.0,11,4,1,0,10,3,5,0,3,2,0,11.6,70.1,0.0,0.0,0.0,0.0,0.0,0.0
Julian Erosa,140000157,Featherweight,1989-07-31T00:00:00,73.0,150.0,74.5,26,10,0,0,14,9,15,0,0,2,0,8.8,64.7,2.3,1.4,8.8,8.8,4.4,28.335999999999995
Domingo Pilarte,140000482,Bantamweight,1990-01-05T00:00:00,72.0,136.0,74.0,8,3,0,1,4,0,8,0,0,0,0,2.6,97.4,2.4,1.6,0.0,0.0,0.0,9.984000000000002
Danaa Batgerel,140000583,Bantamweight,1989-07-04T00:00:00,67.0,135.0,70.0,10,2,0,0,9,0,3,0,0,0,0,9.9,56.4,0.0,0.0,31.4,31.4,0.0,0.0
Daniel Cormier,140000559,Heavyweight,1979-03-20T00:00:00,71.0,236.0,72.5,22,3,0,1,7,1,3,0,5,2,1,2.8,51.7,1.2,0.3,25.0,25.0,21.8,1.008
Ilir Latifi,140000538,Heavyweight,1983-07-28T00:00:00,70.0,240.0,73.0,16,8,0,1,1,1,1,0,0,0,0,0.4,23.5,0.5,0.1,2.8,2.8,2.8,0.020000000000000004
Diego Ferreira,140000102,Lightweight,1985-01-18T00:00:00,69.0,160.0,74.0,17,4,0,0,5,3,11,0,2,0,0,7.4,53.7,1.3,1.3,17.9,17.9,17.9,12.506000000000002
Randy Costa,140000248,Bantamweight,1994-07-06T00:00:00,69.0,135.0,73.0,6,2,0,0,10,3,0,3,0,0,0,15.0,81.8,0.0,0.0,43.4,43.4,0.0,0.0
Tim Means,140000168,Welterweight,1984-02-20T00:00:00,74.0,170.0,75.0,32,12,1,1,19,2,5,5,0,0,0,5.3,55.7,1.0,0.2,11.1,11.1,15.5,1.06
Movsar Evloev,140000277,Featherweight,1994-02-11T00:00:00,67.0,145.0,72.5,15,0,0,0,8,0,11,0,11,0,0,11.9,96.7,11.0,1.1,0.0,0.0,55.4,143.99
Johnny Munoz,140000980,Featherweight,1993-02-16T00:00:00,69.0,135.0,71.0,11,1,0,0,6,0,12,0,0,0,0,8.0,102.1,7.6,7.6,0.0,0.0,0.0,462.08
Aaron Phillips,140000939,Bantamweight,1989-08-05T00:00:00,69.0,135.0,71.0,12,4,0,0,14,2,5,2,0,0,0,3.7,120.7,0.0,0.9,0.0,0.0,0.0,0.0
Eric Spicely,140000412,Middleweight,1986-09-29T00:00:00,73.0,185.0,73.0,12,7,0,0,3,3,5,2,0,0,0,2.9,40.2,1.0,0.8,0.0,0.0,0.0,2.32
Kevin Holland,140000229,Middleweight,1992-11-05T00:00:00,75.0,183.0,81.0,21,7,0,1,17,0,12,6,0,0,0,10.5,118.1,2.6,1.5,17.5,17.5,23.3,40.95
Luana Carolina,140000336,Women's Flyweight,1993-06-11T00:00:00,66.0,125.0,69.0,8,2,0,0,2,0,1,1,0,0,0,4.5,57.6,0.0,1.5,0.0,0.0,38.7,0.0
Mario Sousa,140001058,Middleweight,1996-10-20T00:00:00,75.0,185.0,79.0,12,2,0,0,1,0,0,0,0,0,0,0.3,19.5,0.1,0.1,0.0,0.0,0.8,0.003
Shana Dobson,140000551,Women's Flyweight,1989-03-30T00:00:00,66.0,126.0,69.0,4,5,0,0,0,0,0,0,0,0,0,0.6,20.5,0.2,0.0,4.1,4.1,0.0,0.0
Alan Patrick,140000678,Lightweight,1983-07-19T00:00:00,71.0,155.0,74.0,15,3,0,1,1,1,1,0,0,0,0,0.6,32.1,1.1,0.1,1.7,1.7,12.1,0.066
Gerald Meerschaert,140000228,Middleweight,1987-12-18T00:00:00,73.0,185.0,77.5,33,14,0,0,1,0,2,1,0,0,0,0.3,15.5,0.2,0.2,0.2,0.2,0.0,0.012
Leon Edwards,140000195,Welterweight,1991-08-25T00:00:00,74.0,170.0,74.0,19,3,0,1,2,0,1,0,0,0,0,0.8,31.6,0.5,0.1,2.7,2.7,19.3,0.04000000000000001
Marina Rodriguez,140000235,Women's Strawweight,1987-04-29T00:00:00,66.0,115.0,65.0,15,1,2,0,8,0,1,0,0,0,0,7.0,62.6,0.3,0.3,13.1,13.1,26.2,0.63
Luke Sanders,140000078,Bantamweight,1985-12-12T00:00:00,66.0,145.0,67.0,13,5,0,0,11,2,5,7,5,0,0,10.1,86.3,1.7,0.6,17.0,17.0,13.1,10.301999999999998
Joanne Wood,140000011,Women's Flyweight,1985-12-23T00:00:00,66.0,125.0,65.5,15,6,0,0,4,0,1,2,0,0,0,4.9,49.3,1.2,0.3,3.4,3.4,20.3,1.764
John Allan,140000465,Light Heavyweight,1993-02-22T00:00:00,73.0,205.0,75.0,13,7,0,1,14,0,7,9,0,0,0,8.1,69.6,3.2,1.9,0.0,0.0,0.0,49.248
Gian Villante,140000119,Light Heavyweight,1985-08-18T00:00:00,75.0,261.0,76.0,17,14,0,0,13,11,4,2,4,0,0,7.7,62.6,0.8,0.0,21.4,21.4,21.4,0.0
Anderson Silva,140000073,Middleweight,1975-04-14T00:00:00,74.0,185.0,77.0,34,11,0,1,3,0,0,0,1,0,0,0.4,21.7,0.1,0.1,14.5,14.5,2.2,0.004000000000000001
Takashi Sato,140000301,Welterweight,1990-06-09T00:00:00,70.0,170.0,73.0,16,4,0,0,16,2,4,7,0,2,0,6.8,55.9,1.1,0.0,14.7,14.7,0.0,0.0
Yancy Medeiros,140000021,Lightweight,1987-09-07T00:00:00,70.0,155.0,75.5,15,8,0,1,12,9,9,2,0,0,0,9.8,58.0,0.7,1.5,18.8,18.8,12.5,10.290000000000001
Joanna Jedrzejczyk,140000634,Women's Strawweight,1987-08-18T00:00:00,66.0,115.0,65.5,16,4,0,0,0,0,0,0,1,0,0,0.7,16.5,0.0,0.0,1.0,1.0,12.9,0.0
Gabe Green,140000911,Welterweight,1993-05-02T00:00:00,70.0,170.0,73.0,10,3,0,0,3,2,7,0,0,0,0,7.4,49.1,1.1,0.6,0.0,0.0,8.6,4.884
Marlon Vera,140000207,Bantamweight,1992-12-02T00:00:00,68.0,135.0,70.5,18,7,1,0,8,0,9,0,0,0,0,4.8,59.4,1.0,1.5,24.9,24.9,9.0,7.199999999999999
Kazula Vargas,140000532,Lightweight,1985-08-15T00:00:00,68.0,155.0,71.0,12,4,0,0,9,0,4,1,0,0,0,5.2,73.2,0.6,0.6,0.0,0.0,8.4,1.8719999999999999
Justin Gaethje,140000247,Lightweight,1988-11-14T00:00:00,71.0,156.0,70.0,23,3,0,0,18,2,1,1,6,1,0,6.7,57.2,0.0,0.0,18.2,18.2,3.4,0.0
Aiemann Zahabi,140000318,Bantamweight,1987-11-19T00:00:00,68.0,136.0,68.0,8,2,0,0,15,3,6,0,0,0,0,8.4,70.6,1.0,0.0,17.2,17.2,17.2,0.0
Jiri Prochazka,140000918,Light Heavyweight,1992-10-14T00:00:00,75.0,205.0,80.0,28,3,1,0,28,3,3,1,3,0,0,9.1,59.4,1.2,0.0,7.9,7.9,0.0,0.0
Claudio Silva,140000189,Welterweight,1982-09-06T00:00:00,71.0,170.0,71.0,14,3,0,0,1,0,6,0,0,0,0,1.8,45.3,1.7,0.9,0.0,0.0,7.7,2.754
Krzysztof Jotko,140000279,Middleweight,1989-08-19T00:00:00,73.0,185.0,77.0,23,5,0,0,4,1,1,1,0,0,0,2.1,47.1,0.8,0.1,2.5,2.5,27.0,0.16800000000000004
Andreas Michailidis,140000938,Light Heavyweight,1988-07-18T00:00:00,72.0,185.0,76.0,13,5,0,0,8,6,4,0,0,0,0,4.4,56.4,2.0,0.0,0.0,0.0,6.2,0.0
Beneil Dariush,140000165,Lightweight,1989-05-06T00:00:00,70.0,156.0,72.0,21,4,1,0,0,0,1,0,0,0,0,0.4,16.8,0.2,0.1,1.1,1.1,2.6,0.008000000000000002
Mirsad Bektic,140000469,Featherweight,1991-02-16T00:00:00,68.0,145.0,70.0,13,4,0,0,11,4,6,2,0,0,0,4.5,84.3,7.4,0.8,16.1,16.1,24.1,26.640000000000004
Ben Rothwell,140000166,Heavyweight,1981-10-17T00:00:00,76.0,265.0,78.5,39,14,0,0,16,3,7,1,0,0,0,1.9,35.4,0.4,0.2,12.3,12.3,3.9,0.15200000000000002
Cody Garbrandt,140000139,Bantamweight,1991-07-07T00:00:00,68.0,136.0,65.0,12,4,0,0,13,5,0,0,2,3,0,5.0,50.4,1.7,0.0,39.3,39.3,15.7,0.0
Gregory Rodrigues,140001028,Middleweight,1992-02-17T00:00:00,75.0,185.0,75.0,11,3,0,0,6,2,3,0,1,0,0,5.7,57.3,2.8,0.0,6.8,6.8,6.8,0.0
Paige VanZant,140000017,Women's Flyweight,1994-03-26T00:00:00,64.0,125.0,65.0,8,5,0,0,3,0,4,4,0,0,0,5.0,63.4,1.9,1.4,18.7,18.7,11.4,13.299999999999999
Clay Guida,140000338,Lightweight,1981-12-08T00:00:00,67.0,155.0,70.0,36,18,0,0,1,0,1,1,0,0,0,0.2,14.0,0.3,0.1,0.3,0.3,1.9,0.006
Jinh Yu Frey,140000929,Women's Strawweight,1985-05-20T00:00:00,63.0,115.0,65.0,11,6,0,0,1,1,1,1,2,2,0,1.8,37.3,0.5,0.3,0.0,0.0,7.3,0.27
Nikolas Motta,140001074,Lightweight,1993-02-08T00:00:00,69.0,155.0,70.0,12,3,0,0,11,4,0,2,0,0,0,5.3,37.8,0.0,0.0,0.0,0.0,12.6,0.0
Dalcha Lungiambula,140000434,Light Heavyweight,1987-07-31T00:00:00,68.0,185.0,76.0,11,3,0,0,13,3,3,3,0,0,0,7.9,85.5,5.5,0.0,11.7,11.7,11.7,0.0
Edson Barboza,140000246,Featherweight,1986-01-21T00:00:00,71.0,145.0,75.0,22,10,0,0,21,10,3,5,3,0,0,10.7,72.9,1.0,0.3,40.4,40.4,40.4,3.2099999999999995
Jarjis Danho,140000642,Heavyweight,1983-10-15T00:00:00,75.0,256.0,74.5,7,1,1,1,11,0,0,0,0,0,0,5.5,70.9,0.8,0.0,12.7,12.7,0.0,0.0
Davi Ramos,140000361,Lightweight,1986-11-05T00:00:00,66.0,155.0,70.0,10,4,0,0,2,0,11,0,0,0,0,4.3,47.9,3.1,0.9,0.0,0.0,11.5,11.997
Justin Ledet,140000044,Light Heavyweight,1988-09-28T00:00:00,76.0,205.0,80.0,9,4,0,1,2,2,5,0,0,0,0,3.5,43.6,0.2,0.2,0.0,0.0,14.6,0.14
Al Matavao,140001018,Middleweight,1994-02-23T00:00:00,68.0,205.0,67.5,8,4,0,0,14,9,3,3,0,0,0,13.3,78.9,0.0,0.0,0.0,0.0,0.0,0.0
Macy Chiasson,140000128,Women's Bantamweight,1991-07-27T00:00:00,71.0,136.0,72.0,8,1,0,0,2,0,2,0,1,0,0,3.3,52.8,0.8,0.4,19.7,19.7,19.7,1.056
Lerone Murphy,140000599,Featherweight,1991-07-22T00:00:00,69.0,146.0,73.5,11,0,1,0,10,0,0,0,0,0,0,3.8,63.8,1.1,1.1,20.3,20.3,10.1,4.598
Ryan Benoit,140000887,Flyweight,1989-08-25T00:00:00,65.0,126.0,68.5,10,8,0,0,8,0,1,2,0,0,0,2.8,43.2,0.3,0.4,11.0,11.0,5.5,0.336
Jack Marshman,140000187,Middleweight,1989-12-19T00:00:00,72.0,187.0,73.0,23,10,0,0,21,11,13,5,3,3,0,7.3,45.9,0.0,0.0,8.1,8.1,16.2,0.0
Danilo Marques,140001043,Light Heavyweight,1985-12-26T00:00:00,78.0,205.0,77.0,11,3,0,0,3,1,4,0,0,0,0,1.1,63.2,3.0,0.6,0.0,0.0,5.1,1.98
Matt Schnell,140000152,Flyweight,1990-01-15T00:00:00,68.0,136.0,70.0,15,6,0,0,0,0,1,0,0,0,0,0.7,17.8,0.1,0.2,0.0,0.0,2.3,0.013999999999999999
Carla Esparza,140000296,Women's Strawweight,1987-10-10T00:00:00,61.0,116.0,63.0,19,6,0,0,1,0,1,0,0,0,0,0.4,28.1,0.7,0.1,0.7,0.7,12.0,0.027999999999999997
Sergey Morozov,140001038,Bantamweight,1989-06-14T00:00:00,66.0,135.0,67.0,17,4,0,0,1,0,0,0,0,0,0,0.2,14.6,0.3,0.0,0.0,0.0,0.3,0.0
Nathaniel Wood,140000191,Bantamweight,1993-05-08T00:00:00,66.0,140.0,69.0,17,5,0,0,11,3,7,3,4,0,0,9.3,56.2,1.9,1.3,0.0,0.0,6.7,22.971000000000004
Alan Baudot,140001051,Light Heavyweight,1988-02-01T00:00:00,75.0,246.0,79.0,8,2,0,1,1,0,0,0,0,0,0,1.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0
Kai Kara-France,140000059,Flyweight,1993-03-26T00:00:00,64.0,125.0,69.0,22,9,0,1,11,2,4,4,0,0,0,6.0,47.4,0.6,0.0,3.8,3.8,13.7,0.0
Kanako Murata,140001084,Women's Strawweight,1993-08-10T00:00:00,61.0,115.0,62.0,12,2,0,0,3,1,5,1,1,0,0,2.7,83.1,3.1,1.5,0.0,0.0,9.1,12.555000000000001
Eryk Anders,140000264,Middleweight,1987-04-21T00:00:00,73.0,205.0,75.0,14,5,0,1,2,0,0,0,0,0,0,0.7,25.9,0.3,0.0,3.5,3.5,3.5,0.0
Dricus Du Plessis,140001047,Middleweight,1994-01-14T00:00:00,73.0,185.0,76.0,16,2,0,0,6,1,8,1,1,1,0,4.4,45.1,2.6,0.0,10.3,10.3,0.0,0.0
Geoff Neal,140000003,Welterweight,1990-08-28T00:00:00,71.0,171.0,75.0,13,4,0,0,10,2,3,2,0,0,0,7.1,66.1,1.0,0.3,29.9,29.9,9.5,2.13
Alistair Overeem,140000287,Heavyweight,1980-05-17T00:00:00,76.0,255.0,80.0,47,19,0,0,34,20,23,2,4,2,0,6.7,97.9,2.6,1.5,38.3,38.3,10.1,26.130000000000003
Jeff Hughes,140000155,Heavyweight,1988-05-17T00:00:00,74.0,258.0,77.0,10,4,0,1,4,1,1,1,2,0,0,3.6,49.2,0.7,0.0,0.0,0.0,0.0,0.0
Jordan Griffin,140000603,Featherweight,1990-02-28T00:00:00,70.0,145.0,73.0,18,9,0,0,11,2,13,4,0,0,0,5.3,76.8,3.1,3.9,0.0,0.0,0.0,64.077
Casey Kenney,140000227,Bantamweight,1991-03-20T00:00:00,67.0,136.0,68.0,16,4,1,0,2,0,5,0,3,0,0,5.0,44.8,1.1,0.4,0.0,0.0,24.1,2.2
Chris Gruetzemacher,140000724,Lightweight,1986-06-16T00:00:00,68.0,156.0,68.0,15,4,0,0,10,2,6,6,0,0,0,14.3,91.1,0.0,0.0,10.8,10.8,15.1,0.0
JP Buys,140000966,Flyweight,1996-04-30T00:00:00,65.0,136.0,67.0,9,4,0,0,4,3,7,1,0,0,0,2.5,72.8,2.4,3.6,0.0,0.0,0.0,21.6
Carlos Condit,140000652,Welterweight,1984-04-26T00:00:00,74.0,171.0,75.5,32,14,0,0,5,0,4,2,2,1,0,1.1,30.4,0.2,0.3,3.4,3.4,2.7,0.066
Khaos Williams,140000894,Welterweight,1994-03-30T00:00:00,72.0,170.0,77.0,13,2,0,0,12,0,2,0,0,0,0,8.4,55.0,0.0,0.0,25.9,25.9,11.2,0.0
Joe Lowry,140000840,Lightweight,1989-12-12T00:00:00,71.0,155.0,73.0,9,2,0,0,3,1,1,0,0,0,0,3.7,33.4,0.0,0.0,0.0,0.0,0.0,0.0
Tecia Torres,140000140,Women's Strawweight,1989-08-16T00:00:00,61.0,115.0,60.5,13,5,0,0,2,0,2,0,0,0,0,8.4,73.4,1.3,0.1,0.0,0.0,51.8,1.0920000000000003
